"from"	"to"	"strength"
"80"	"FM"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardiaceae_Gordonia"	5,2352133056185e-13
"81"	"tissue"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardiaceae_Gordonia"	9,45484128267396e-13
"82"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardiaceae_Gordonia"	0,187115287263188
"83"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardiaceae_Gordonia"	0,0254826313914512
"84"	"additive"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas"	0,720556405188535
"85"	"FM"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas"	0,000837599032644957
"86"	"FO"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas"	0,527388523340906
"87"	"tissue"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas"	0,00495904381166902
"88"	"tissue"	"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas"	0,00416178248472452
"89"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Phyllobacterium"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas"	0,000389230587399422
"90"	"tissue"	"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides"	0,129015938079838
"91"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides"	0,0210044806195894
"92"	"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Chryseobacterium"	"Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Veillonella"	1,40252708564491e-05
"93"	"FO"	"Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Veillonella"	0,794260941631148
"94"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Corynebacteriaceae_Corynebacterium"	"Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Aeromonadaceae_Aeromonas"	0,00241517066339862
"95"	"tissue"	"Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Aeromonadaceae_Aeromonas"	3,73541669209271e-06
"96"	"FM"	"Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Aeromonadaceae_Aeromonas"	0,231720103799946
"97"	"additive"	"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Chryseobacterium"	0,870710622547102
"98"	"additive"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium"	0,87381678423201
"99"	"FM"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium"	0,0111045283461018
"100"	"tissue"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium"	0,927105666651232
"101"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Rhizobium"	"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Chryseobacterium"	0,210565185000816
"102"	"tissue"	"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia"	1,81401307659504e-06
"103"	"FO"	"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia"	0,00112904678255701
"104"	"tissue"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus"	0,215185332965447
"105"	"FM"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus"	0,0154999733754907
"106"	"additive"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus"	0,143784981118766
"107"	"FO"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium"	0,569636268616979
"108"	"tissue"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium"	0,0343493348395136
"109"	"FO"	"Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales_Aeromonadaceae_Aeromonas"	0,441038168636875
"110"	"tissue"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Brevibacteriaceae_Brevibacterium"	3,64958018296093e-28
"111"	"FO"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Brevibacteriaceae_Brevibacterium"	0,073156240782607
"112"	"additive"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Actinobacillus"	4,08242449957449e-06
"113"	"Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Chryseobacterium"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales_Pasteurellaceae_Actinobacillus"	8,15409254649357e-06
"114"	"FM"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium"	0,000690677012332802
"115"	"additive"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium"	0,00184652443749762
"116"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardiaceae_Gordonia"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium"	0,971962516233544
"117"	"additive"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium"	4,00382668365922e-07
"118"	"tissue"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium"	0,0953233447950398
"119"	"FO"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium"	6,527099776641e-09
"120"	"FM"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium"	5,70919922644703e-10
"121"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium"	1,60001205831442e-06
"122"	"tissue"	"Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Veillonella"	0,0848152645462391
"123"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Nocardioidaceae_Nocardioides"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Rhizobium"	0,415217860863379
"124"	"FM"	"Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Veillonella"	0,319091316191048
"125"	"FM"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"	0,186417934280144
