"X.Bacteria_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Chryseobacterium."	"X.Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_Paracoccus."
"83"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"
"84"	"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Alteromonadaceae_Alishewanella"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"
"85"	"tissue"	"Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Stenotrophomonas"
"86"	"tissue"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Aliivibrio"
"87"	"FM"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Aliivibrio"
"88"	"FO"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Aliivibrio"
"89"	"FO"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus"
"90"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus"	"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium_sensu_stricto"
"91"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium"	"Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales_Halomonadaceae_Halomonas"
"92"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium"
"93"	"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus"
"94"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter"
"95"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Phyllobacterium"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus"
"96"	"tissue"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"
"97"	"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_XlVa"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"
"98"	"FO"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"
"99"	"FM"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"
"100"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Brevundimonas"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"
"101"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Rhizobium"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Micrococcus"
"102"	"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Blautia"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Micrococcaceae_Arthrobacter"
"103"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium"
"104"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus"
"105"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"
"106"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"
"107"	"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_XlVa"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium"
"108"	"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Oxalobacteraceae_Massilia"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium"
"109"	"additive"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"
"110"	"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium"
"111"	"Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium"
"112"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus"	"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Bradyrhizobiaceae_Bradyrhizobium"
