"from"	"to"	"strength"
"124"	"FM"	"Bacteria_Firmicutes_Negativicutes_Selenomonadales_Veillonellaceae_Veillonella"	-75,9769560282477
"125"	"FM"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"	58,6994977191749
"126"	"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Geobacillus"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"	-487,276168924737
"127"	"FO"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"	71,3980311717195
"128"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Acinetobacter"	"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Moraxellaceae_Psychrobacter"	22,7609295216415
"129"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Vibrio"	"Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus"	27,8359611954362
"130"	"Bacteria_Firmicutes_Bacilli_Bacillales_Staphylococcaceae_Staphylococcus"	"Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus"	-34,3103795613706
"131"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Corynebacteriaceae_Corynebacterium"	"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas"	-23,566546623499
"132"	"FO"	"Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas"	-3,61993783862127
"133"	"tissue"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium"	-31,1875083149363
"134"	"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium_XlVa"	"Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_Phenylobacterium"	-95,9350344680287
"135"	"FM"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Brevibacteriaceae_Brevibacterium"	71,025277088295
"136"	"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Photobacterium"	"Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Brevibacteriaceae_Brevibacterium"	5,65167936627353
